feature_id,category,feature
501,actors,Andy Dick
502,actors,Andy Garcia
503,actors,Andy García
504,actors,Andy Goldsworthy
505,actors,Andy Griffith
506,actors,Andy Merrill
507,actors,Andy Nyman
508,actors,Andy Richter
509,actors,Andy Romano
510,actors,Andy Samberg
511,actors,Andy Serkis
512,actors,Andy Walken
513,actors,Aneta Corsaut
514,actors,Aneurin Barnard
515,actors,Angela Bassett
516,actors,Angela Bettis
517,actors,Angela Cartwright
518,actors,Angela Featherstone
519,actors,Angela Goethals
520,actors,Angela Lansbury
521,actors,Angela Lindvall
522,actors,Angela Sarafyan
523,actors,Angela Scoular
524,actors,Angelababy
525,actors,Angeliki Papoulia
526,actors,Angelina Jolie
527,actors,Angeline Ball
528,actors,Angie Dickinson
529,actors,Angie Harmon
530,actors,Angie Xtravaganza
531,actors,Angourie Rice
532,actors,Angus MacLane
533,actors,Angus Macfadyen
534,actors,Angus Sampson
535,actors,Angus Scrimm
536,actors,Angus T. Jones
537,actors,Angus Wright (actor)
538,actors,Anh Duong
539,actors,Ania Pieroni
540,actors,Anika Noni Rose
541,actors,Anil Kapoor
542,actors,Anita Ekberg
543,actors,Anita Garvin
544,actors,Anita Kanwar
545,actors,Anita Louise
546,actors,Anita Morris
547,actors,Anita Page
548,actors,Anita Pallenberg
549,actors,Anitra Ford
550,actors,Anjanette Comer
551,actors,Anjelica Huston
552,actors,Ann Blyth
553,actors,Ann Doran
554,actors,Ann Dowd
555,actors,Ann Dusenberry
556,actors,Ann Dvorak
557,actors,Ann Jillian
558,actors,Ann Lancaster
559,actors,Ann Magnuson
560,actors,Ann Miller
561,actors,Ann Reinking
562,actors,Ann Robinson
563,actors,Ann Rutherford
564,actors,Ann Savage (actress)
565,actors,Ann Sheridan
566,actors,Ann Smyrner
567,actors,Ann Sothern
568,actors,Ann Todd
569,actors,Ann Turkel
570,actors,Ann Wedgeworth
571,actors,Ann-Margret
572,actors,Ann-Marie MacDonald
573,actors,Anna Camp
574,actors,Anna Castillo
575,actors,Anna Chancellor
576,actors,Anna Chlumsky
577,actors,Anna Deavere Smith
578,actors,Anna Faris
579,actors,Anna Friel
580,actors,Anna Hutchison
581,actors,Anna Kendrick
582,actors,Anna Lee
583,actors,Anna Maria Horsford
584,actors,Anna Massey
585,actors,Anna May Wong
586,actors,Anna Nakagawa
587,actors,Anna Paquin
588,actors,Anna Popplewell
589,actors,Anna Quayle
590,actors,Anna Thomson
591,actors,AnnaSophia Robb
592,actors,Annabella Piugattuk
593,actors,Annabella Sciorra
594,actors,Annabelle Wallis
595,actors,Annabeth Gish
596,actors,Annaleigh Ashford
597,actors,Annalise Basso
598,actors,Anne Archer
599,actors,Anne Bancroft
600,actors,Anne Baxter
601,actors,Anne Bobby
602,actors,Anne Byrne (actress)
603,actors,Anne Canovas
604,actors,Anne Cornwall
605,actors,Anne Dorval
606,actors,Anne Francis
607,actors,Anne Haney
608,actors,Anne Hathaway
609,actors,Anne Heche
610,actors,Anne Marie McEvoy
611,actors,Anne Meara
612,actors,Anne Ramsey
613,actors,Anne Reid
614,actors,Anne Revere
615,actors,Anne Ryan (actress)
616,actors,Anne Twomey (actor)
617,actors,Anne Wiazemsky
618,actors,Anne-Marie Duff
619,actors,Anne-Marie Johnson
620,actors,Annet Mahendru
621,actors,Annette Bening
622,actors,Annette Crosbie
623,actors,Annette Funicello
624,actors,Annette O'Toole
625,actors,Annie Corley
626,actors,Annie Golden
627,actors,Annie McEnroe
628,actors,Annie Mumolo
629,actors,Annie Parisse
630,actors,Annie Potts
631,actors,Annie Ross
632,actors,Another Bad Creation
633,actors,Ansel Elgort
634,actors,Anson Mount
635,actors,Anthony 'Scooter' Teague
636,actors,Anthony Anderson
637,actors,Anthony Barrile
638,actors,Anthony Carrigan (actor)
639,actors,Anthony Daniels
640,actors,Anthony Dawson
641,actors,Anthony DeSando
642,actors,Anthony Edwards (actor)
643,actors,Anthony Franciosa
644,actors,Anthony Gonzalez (actor)
645,actors,Anthony Griffith (actor)
646,actors,Anthony Hayes (actor)
647,actors,Anthony Head
648,actors,Anthony Heald
649,actors,Anthony Higgins (actor)
650,actors,Anthony Hopkins
651,actors,Anthony Johnson (actor)
652,actors,Anthony LaPaglia
653,actors,Anthony Mackie
654,actors,Anthony Michael Hall
655,actors,Anthony Newley
656,actors,Anthony Peck
657,actors,Anthony Perkins
658,actors,Anthony Quayle
659,actors,Anthony Quinn
660,actors,Anthony Rapp
661,actors,Anthony Starke
662,actors,Anthony Steel (actor)
663,actors,Anthony Wager
664,actors,Anthony Zerbe
665,actors,Antje Traue
666,actors,Antoine Olivier Pilon
667,actors,Anton Lesser
668,actors,Anton Rodgers
669,actors,Anton Walbrook
670,actors,Anton Yelchin
671,actors,Antonia Franceschi
672,actors,Antonia Santilli
673,actors,Antonia Thomas
674,actors,Antonio Banderas
675,actors,Antonio Cifariello
676,actors,Antonio Sabàto Jr.
677,actors,Antonio Tarver
678,actors,Antony Sher
679,actors,Antônio Fagundes
680,actors,Anupam Kher
681,actors,Anushka Sharma
682,actors,Anya Taylor-Joy
683,actors,Aoi Miyazaki
684,actors,Aoi Yūki
685,actors,Aomi Muyock
686,actors,Apisit Opasaimlikit
687,actors,Apollonia Kotero
688,actors,April Bowlby
689,actors,April Winchell
690,actors,Arabella Holzbog
691,actors,Araceli Segarra
692,actors,Aran Bell
693,actors,Archie Hahn (actor)
694,actors,Archie Panjabi
695,actors,Arden Myrin
696,actors,Aretha Franklin
697,actors,Ari Cohen
698,actors,Ari Graynor
699,actors,Arian Moayed
700,actors,Ariana Richards
701,actors,Ariane Koizumi
702,actors,Ariane Labed
703,actors,Arie Verveen
704,actors,Ariel Gade
705,actors,Ariel Levy (actor)
706,actors,Ariel Schulman
707,actors,Ariel Winter
708,actors,Arielle Kebbel
709,actors,Arija Bareikis
710,actors,Arjun Mathur
711,actors,Arleen Sorkin
712,actors,Arlen Escarpeta
713,actors,Arlene Dahl
